Student ID,Age,Nationality1,Nationality2,Locality,Special Need,Support,Student Type,Profession,Professional Situation,Professional Group,Mother's Profession,Mother's Habilitation,Mother's Professional Situation,Mother's Professional Group,Father's Profession,Father's Habilitation,Father's Professional Group,Father's Professional Situation,Academic Year,Course,Faculty,Scholarship,Admission,Status,DGES Info,Admission Category,Admission Grade
74e0fdc0-43ad-11ef-9bb9-1f0134218f6a,38,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Não disponível,Outra situação,Outra situação,Unknown,Não disponível,Outra situação,Outra situação,200506,GESTÃO EMPRESARIAL,Faculdade de Economia,No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
a8cb7fd0-439d-11ef-9bb9-1f0134218f6a,36,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM TRADUÇÃO E INTERPRETAÇÃO MULTIMÉDIA - 1º CICLO,Escola Superior de Educação e Comunicação,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
ac13e000-3dea-11ef-8a13-07a6be7df6b6,42,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Técnico de Prevenção e Segurança,Trabalhador por conta de outrem,Técnicos e profissões de nível intermédio,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Reformado,Outra situação,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Outra situação,Reformado,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1º CICLO - (DIURNO),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,1,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
98ad1f11-44fa-11ef-afcd-bd946a6b5b3d,35,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1º CICLO - (NOCTURNO),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,1,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
3eabea10-43aa-11ef-9bb9-1f0134218f6a,36,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,GESTÃO EMPRESARIAL,Faculdade de Economia,No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
63840e61-439d-11ef-9bb9-1f0134218f6a,35,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Ensino superior - licenciatura,Reformado,Especialistas das atividades intelectuais e científicas,Unknown,Ensino secundário - 12.º  ou equivalente,Especialistas das atividades intelectuais e científicas,Reformado,200506,ARQUITETURA PAISAGISTA,Faculdade de Ciências e Tecnologia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
86426780-439d-11ef-9bb9-1f0134218f6a,37,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,BIOTECNOLOGIA,Faculdade de Ciências e Tecnologia,No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
661ca7b0-43aa-11ef-9bb9-1f0134218f6a,33,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,MARKETING,Faculdade de Economia,No,INGRESSO,1,3 - Concurso institucional,Unknown,Unknown
864c79a0-439d-11ef-9bb9-1f0134218f6a,38,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1º CICLO - (NOCTURNO),"Escola Superior de Gestão, Hotelaria e Turismo",No,Transferência,0,Unknown,Unknown,Unknown
98afb721-44fa-11ef-afcd-bd946a6b5b3d,32,Portugal,Unknown,ALMANCIL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CONTABILIDADE,Faculdade de Economia,No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
864d8b10-439d-11ef-9bb9-1f0134218f6a,33,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1º CICLO - (NOCTURNO),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,1,12 - Mudança de curso,Unknown,Unknown
5b007470-3535-11ef-af6f-09f1977a5dda,33,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta de outrem,"Técnicos de nível intermédio, das áreas financeira, administrativa e dos negócios",Outra situação,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Reformado,Não sabe,Outra situação,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,"Trabalhadores qualificados da metalurgia, metalomecânica e similares",Reformado,200506,EDUCAÇÃO DE INFÂNCIA,Escola Superior de Educação e Comunicação,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
63882d10-439d-11ef-9bb9-1f0134218f6a,38,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Reformado,Pessoal administrativo,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Pessoal administrativo,Reformado,200506,CURSO BIETÁPICO EM EDUCAÇÃO E INTERVENÇÃO COMUNITÁRIA - 1º CICLO,Escola Superior de Educação e Comunicação,No,FASE 1,0,1 - Concurso nacional de acesso,Unknown,Unknown
98b164d0-44fa-11ef-afcd-bd946a6b5b3d,33,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM TRADUÇÃO E INTERPRETAÇÃO MULTIMÉDIA - 1º CICLO,Escola Superior de Educação e Comunicação,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
a8d20f80-439d-11ef-9bb9-1f0134218f6a,33,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1º CICLO - (NOCTURNO),"Escola Superior de Gestão, Hotelaria e Turismo",No,INGRESSO,1,3 - Concurso institucional,Unknown,Unknown
3ed9d7e0-43aa-11ef-9bb9-1f0134218f6a,59,Portugal,Unknown,SILVES,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1º CICLO - (DIURNO),Instituto Superior de Engenharia,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
3ed9fef0-43aa-11ef-9bb9-1f0134218f6a,55,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1º CICLO - (NOCTURNO),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,1,12 - Mudança de curso,Unknown,Unknown
3edbd3b0-43aa-11ef-9bb9-1f0134218f6a,34,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA MECÂNICA - 1º CICLO,Instituto Superior de Engenharia,No,Mudança de Curso,1,12 - Mudança de curso,Unknown,Unknown
98b24f30-44fa-11ef-afcd-bd946a6b5b3d,34,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,INFORMÁTICA,Faculdade de Ciências e Tecnologia,No,Titulares de cursos médios e superiores,1,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
23117530-43ab-11ef-9bb9-1f0134218f6a,35,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CONTABILIDADE,Faculdade de Economia,No,INGRESSO,1,3 - Concurso institucional,Unknown,Unknown
4763e542-390a-11ef-8797-31181e55ecc2,38,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,Alunos com grupo profissional para corrigir,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Reformado,Outra situação,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Outra situação,Reformado,200506,CURSO BIETÁPICO EM RADIOLOGIA - 1º CICLO,Escola Superior de Saúde,No,CONCURSOS ESPECIAIS,1,Unknown,Unknown,Unknown
a8d45970-439d-11ef-9bb9-1f0134218f6a,33,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,PSICOLOGIA,Faculdade de Ciências Humanas e Sociais,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
6389b3b1-439d-11ef-9bb9-1f0134218f6a,31,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Ensino superior - licenciatura,Reformado,"Representantes do poder legislativo e de órgãos executivos, dirigentes, directores e gestores executivos",Unknown,Ensino superior - licenciatura,"Representantes do poder legislativo e de órgãos executivos, dirigentes, directores e gestores executivos",Reformado,200506,GESTÃO EMPRESARIAL,Faculdade de Economia,No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
98b387b0-44fa-11ef-afcd-bd946a6b5b3d,31,Portugal,Unknown,ALVOR,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,GESTÃO EMPRESARIAL,Faculdade de Economia,No,INGRESSO,1,3 - Concurso institucional,Unknown,Unknown
