Age,Nationality1,Nationality2,Locality,Special Need,Support,Student Type,Profession,Professional Situation,Professional Group,Mother's Profession,Mother's Habilitation,Mother's Professional Situation,Mother's Professional Group,Father's Profession,Father's Habilitation,Father's Professional Group,Father's Professional Situation,Academic Year,Course,Faculty,Scholarship,Admission,Status,DGES Info,Admission Category,Admission Grade
42,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Técnico de Prevenção e Segurança,Trabalhador por conta de outrem,Técnicos e profissões de nível intermédio,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Reformado,Outra situação,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Outra situação,Reformado,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Diurno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
36,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
38,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Transferência,0,Unknown,Unknown,Unknown
33,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
38,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Reformado,Pessoal administrativo,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Pessoal administrativo,Reformado,200506,CURSO BIETÁPICO EM EDUCAÇÃO E INTERVENÇÃO COMUNITÁRIA - 1.º CICLO,Escola Superior de Educação e Comunicação,No,FASE 1,0,1 - Concurso nacional de acesso,Unknown,Unknown
33,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
59,Portugal,Unknown,SILVES,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Diurno),Instituto Superior de Engenharia,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
55,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
34,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA MECÂNICA - 1.º CICLO,Instituto Superior de Engenharia,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
39,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,Alunos com grupo profissional para corrigir,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Reformado,Outra situação,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Outra situação,Reformado,200506,CURSO BIETÁPICO EM RADIOLOGIA - 1.º CICLO,Escola Superior de Saúde,No,CONCURSOS ESPECIAIS,0,Unknown,Unknown,Unknown
43,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ASSESSORIA DE ADMINISTRAÇÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
54,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Outra situação,Outra situação,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Outra situação,Outra situação,Encarregado - Trabalhadores de Construção Civil e Obras Públicas,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,"Trabalhadores qualificados da indústria, construção e artífices",Outra situação,200506,CURSO BIETÁPICO EM ENGENHARIA ELÉCTRICA E ELECTRÓNICA - 1.º CICLO - (DIURNO),Instituto Superior de Engenharia,No,CURSOS BIETÁPICOS (INICÍO 1998/99),0,Unknown,Unknown,Unknown
36,Portugal,Unknown,ALMANCIL,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,Pessoal administrativo,Unknown,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Doméstico,Outra situação,Unknown,Ensino secundário - 12.º  ou equivalente,Técnicos e profissões de nível intermédio,Reformado,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Diurno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
31,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
34,Portugal,Unknown,PORTIMÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,FASE 1,1,1 - Concurso nacional de acesso,Unknown,Unknown
31,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Outros Analistas de Sistemas e Outros Especialistas de Informática,Trabalhador por conta de outrem,Especialistas das atividades intelectuais e científicas,Unknown,Não sabe ler nem escrever,Doméstico,Outra situação,Militar,Ensino básico 1.º ciclo - 4.º ano de escolaridade ,Profissões das Forças Armadas,Reformado,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,FASE 2,0,1 - Concurso nacional de acesso,Unknown,Unknown
31,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM DIETÉTICA - 1.º CICLO,Escola Superior de Saúde,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
34,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Não disponível,Outra situação,Outra situação,Unknown,Não disponível,Outra situação,Outra situação,200506,ENSINO BÁSICO - 1.º CICLO,Escola Superior de Educação e Comunicação,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
31,Portugal,Unknown,QUARTEIRA,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Transferência,0,Unknown,Unknown,Unknown
30,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,INGRESSO,0,3 - Concurso institucional,Unknown,Unknown
31,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Diurno),Instituto Superior de Engenharia,No,CONCURSOS ESPECIAIS,1,Unknown,Unknown,Unknown
31,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
